Tag,Junction,Direction,Width,Leads to Node
1,0,main,0.6,1
2,0,left,0.6,2
3,0,right,0.45,-1
4,1,main,0.6,3
5,1,left,0.45,10
6,1,right,0.6,0
7,2,main,0.6,0
8,2,left,0.6,4
9,2,right,0.45,20
10,3,main,0.6,5
11,3,left,0.6,1
12,3,right,0.45,30
13,4,main,0.6,2
14,4,left,0.45,40
15,4,right,0.6,6
16,5,main,0.6,7
17,5,left,0.6,3
18,5,right,0.45,50
19,6,main,0.6,4
20,6,left,0.6,8
21,6,right,0.45,60
22,7,main,0.6,71
23,7,left,0.45,72
24,7,right,0.6,5
25,8,main,0.6,6
26,8,left,0.45,81
27,8,right,0.6,82
28,10,main,0.45,1
29,10,left,0.34,11
30,10,right,0.45,12
31,11,main,0.34,10
32,11,left,0.25,111
33,11,right,0.34,112
34,12,main,0.45,10
35,12,left,0.34,121
36,12,right,0.45,122
37,20,main,0.45,2
38,20,left,0.45,21
39,20,right,0.34,22
40,21,main,0.45,20
41,21,left,0.34,211
42,21,right,0.45,212
43,22,main,0.34,20
44,22,left,0.25,221
45,22,right,0.34,222
46,30,main,0.45,3
47,30,left,0.34,31
48,30,right,0.45,32
49,31,main,0.34,30
50,31,left,0.25,311
51,31,right,0.34,312
52,32,main,0.34,30
53,32,left,0.34,321
54,32,right,0.25,322
55,40,main,0.45,4
56,40,left,0.34,41
57,40,right,0.45,42
58,41,main,0.34,40
59,41,left,0.34,411
60,41,right,0.25,412
61,42,main,0.45,40
62,42,left,0.45,421
63,42,right,0.34,422
64,50,main,0.45,5
65,50,left,0.45,51
66,50,right,0.34,52
67,60,main,0.45,6
68,60,left,0.45,61
69,60,right,0.34,62
70,111,main,0.25,11
71,111,left,0.25,1111
72,111,right,0.25,1112
73,112,main,0.34,11
74,112,left,0.34,1121
75,112,right,0.25,1122
76,121,main,0.34,12
77,121,left,0.34,1211
78,121,right,0.25,1212
79,122,main,0.45,12
80,122,left,0.45,1221
81,122,right,0.34,1222
82,211,main,0.34,21
83,211,left,0.34,2111
84,211,right,0.25,2112
85,212,main,0.45,21
86,212,left,0.45,2121
87,212,right,0.34,2122
88,221,main,0.25,22
89,221,left,0.25,2211
90,221,right,0.25,2212
91,222,main,0.34,22
92,222,left,0.25,2221
93,222,right,0.34,2222